i,j,mocoeff
16,24,  0.000000000000e+00
16,25,  0.000000000000e+00
16,26,  0.000000000000e+00
17,0,  0.000000000000e+00
17,1,  0.000000000000e+00
17,2,  0.000000000000e+00
17,3,  0.000000000000e+00
17,4,  0.000000000000e+00
17,5,  0.000000000000e+00
17,6,  0.000000000000e+00
17,7,  0.000000000000e+00
17,8,  0.000000000000e+00
17,9,  0.000000000000e+00
17,10,  0.000000000000e+00
17,11,  0.000000000000e+00
17,12,  0.000000000000e+00
17,13, -9.759469844578e-02
17,14,  0.000000000000e+00
17,15,  0.000000000000e+00
17,16,  0.000000000000e+00
17,17,  0.000000000000e+00
17,18,  0.000000000000e+00
17,19,  0.000000000000e+00
17,20,  0.000000000000e+00
17,21,  0.000000000000e+00
17,22,  1.222094147445e+00
17,23,  0.000000000000e+00
17,24,  0.000000000000e+00
17,25,  0.000000000000e+00
17,26,  0.000000000000e+00
18,0,  0.000000000000e+00
18,1,  0.000000000000e+00
18,2,  0.000000000000e+00
18,3,  0.000000000000e+00
18,4,  0.000000000000e+00
18,5,  0.000000000000e+00
18,6,  0.000000000000e+00
18,7,  0.000000000000e+00
18,8,  0.000000000000e+00
18,9,  0.000000000000e+00
18,10,  0.000000000000e+00
18,11,  0.000000000000e+00
18,12,  0.000000000000e+00
18,13,  0.000000000000e+00
18,14, -9.759469871494e-02
18,15,  0.000000000000e+00
18,16,  0.000000000000e+00
18,17,  0.000000000000e+00
18,18,  0.000000000000e+00
18,19,  0.000000000000e+00
18,20,  0.000000000000e+00
18,21,  0.000000000000e+00
18,22,  0.000000000000e+00
18,23,  1.222094147424e+00
18,24,  0.000000000000e+00
18,25,  0.000000000000e+00
18,26,  0.000000000000e+00
19,0,  0.000000000000e+00
19,1,  0.000000000000e+00
19,2,  0.000000000000e+00
19,3,  0.000000000000e+00
19,4,  0.000000000000e+00
19,5,  0.000000000000e+00
19,6,  0.000000000000e+00
19,7,  0.000000000000e+00
19,8,  0.000000000000e+00
19,9,  0.000000000000e+00
19,10,  0.000000000000e+00
19,11,  0.000000000000e+00
19,12,  0.000000000000e+00
19,13,  0.000000000000e+00
19,14,  0.000000000000e+00
19,15, -9.759469860804e-02
19,16,  0.000000000000e+00
19,17,  0.000000000000e+00
19,18,  0.000000000000e+00
19,19,  0.000000000000e+00
19,20,  0.000000000000e+00
19,21,  0.000000000000e+00
19,22,  0.000000000000e+00
19,23,  0.000000000000e+00
19,24,  1.222094147432e+00
19,25,  0.000000000000e+00
19,26,  0.000000000000e+00
20,0,  0.000000000000e+00
20,1,  0.000000000000e+00
20,2,  0.000000000000e+00
20,3,  0.000000000000e+00
20,4,  0.000000000000e+00
20,5,  0.000000000000e+00
20,6,  0.000000000000e+00
20,7,  0.000000000000e+00
20,8,  0.000000000000e+00
20,9,  0.000000000000e+00
20,10,  0.000000000000e+00
20,11,  0.000000000000e+00
20,12,  0.000000000000e+00
20,13,  0.000000000000e+00
20,14,  0.000000000000e+00
20,15,  0.000000000000e+00
20,16, -9.759469841304e-02
20,17,  0.000000000000e+00
20,18,  0.000000000000e+00
20,19,  0.000000000000e+00
20,20,  0.000000000000e+00
20,21,  0.000000000000e+00
20,22,  0.000000000000e+00
20,23,  0.000000000000e+00
20,24,  0.000000000000e+00
20,25,  1.222094147448e+00
20,26,  0.000000000000e+00
21,0,  0.000000000000e+00
21,1,  0.000000000000e+00
21,2,  0.000000000000e+00
21,3,  0.000000000000e+00
21,4,  0.000000000000e+00
21,5,  0.000000000000e+00
21,6,  0.000000000000e+00
21,7,  0.000000000000e+00
21,8,  0.000000000000e+00
21,9,  0.000000000000e+00
21,10,  0.000000000000e+00
21,11,  0.000000000000e+00
21,12,  0.000000000000e+00
21,13,  0.000000000000e+00
21,14,  0.000000000000e+00
21,15,  0.000000000000e+00
21,16,  0.000000000000e+00
21,17, -9.759469843288e-02
21,18,  0.000000000000e+00
21,19,  0.000000000000e+00
21,20,  0.000000000000e+00
21,21,  0.000000000000e+00
21,22,  0.000000000000e+00
21,23,  0.000000000000e+00
21,24,  0.000000000000e+00
21,25,  0.000000000000e+00
21,26,  1.222094147446e+00
22,0,  0.000000000000e+00
22,1,  0.000000000000e+00
22,2,  0.000000000000e+00
22,3,  0.000000000000e+00
22,4,  0.000000000000e+00
22,5,  0.000000000000e+00
22,6,  0.000000000000e+00
